ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Best Soil Types
979,Guava,81.6,40,73.7,29.55,1089.2,57.6,6.83,Red
980,Wheat,117.6,58,51,14.63,717,45.7,7.02,Alluvial
981,Barnyard Millet,31.9,22.1,20.4,21.99,548.6,40,7.06,Alluvial
982,Rapeseed,97.6,55,36,13.67,641.1,45.1,6.34,Alluvial
983,Plum,129.9,60.5,111.4,2.72,779.3,71,5.94,Mountain
984,Pumpkin,60.1,43.4,76.8,27.09,854.7,65.8,6.69,Red
985,Broccoli,144.2,98.5,91.6,23.99,534,71.1,6.84,Alluvial
986,Saffron,98,52.4,67.5,-8.02,471.9,47.5,7.08,Karewa Soil
987,Muskmelon,72,65,83.2,37.94,568,40.2,6.21,Arid
988,Barley,62.5,39.2,20.6,4.78,437,56.3,8.34,Alluvial
989,Cashew Nut,61.2,32.3,41,31.46,1708.2,84.6,6.05,Red
990,Lentil,26.3,44.2,26.7,20.41,402.7,35.7,6.72,Alluvial
991,Rice (Paddy),102.9,50.9,45.7,30.64,1811.6,80.8,5.56,Alluvial
992,Proso Millet,30,25,22.5,22.76,542.5,44.4,6.64,Loamy
993,Walnuts,173.7,85.8,111,1.19,1185.7,54.7,6.83,Karewa
994,Ashwagandha,41,48.5,20.5,29.71,534.1,64.4,8.06,Black
995,Groundnut,26.9,69,53.8,20.35,924.9,69.7,7.22,Red
996,Fig,75.8,59.3,86.4,20.91,794.8,46.8,7.36,Saline
997,Amla,83.4,45.7,46.1,36.09,774.6,65.9,8.03,Saline
998,Toria,64.1,42.2,35.7,18.79,433.9,40.4,6.05,Alluvial
999,Safflower,44.7,42,25.1,21.67,667.6,41.1,7.51,Black
1000,Bottle Gourd,66.4,43.6,60.4,31.78,796.9,63.2,6.68,Alluvial
1001,Amla,61.8,57.5,47,27.29,723.2,62.8,7.27,Alluvial
1002,Cherry,140.7,87,120.3,3.94,1021.6,61.6,6.13,Mountain
1003,Bajra,76,35.5,38.2,27.76,503.1,38.3,7.06,Alluvial
1004,Coffee,112.6,55.8,143.3,19.01,1882.1,74.7,5.51,Forest
1005,Jowar,80.4,48.3,40.8,26.73,724.3,56.3,6.97,Black
1006,Okra,105.6,56.4,56.9,28.43,603,65.5,6.94,Black
1007,Cashew Nut,66.9,32.6,43.2,32.43,1633.4,69.8,7,Red
1008,Foxtail Millet,54.6,20.9,26.5,22.38,551.7,42.4,7.17,Black
1009,Betel Vine,151.3,120.5,143.3,31.28,1735.2,91.2,6.92,Clayey
1010,Aloe Vera,35.3,21.4,36.2,20.48,437.6,52.6,7.58,Arid
1011,Groundnut,26.1,61,71.4,29.67,529.7,50.8,6.87,Red
1012,Foxtail Millet,56.9,23.9,24.4,21.37,556.4,50.6,7.1,Black
1013,Avocado,126.7,56.4,106.9,27.72,1630.4,77.8,6.59,Laterite
1014,Carrot,80.9,87.1,100.1,23.13,503,77.4,6.84,Alluvial
1015,Turmeric,101.5,54.8,111.6,30.73,2640.8,73.8,6.57,Laterite
1016,Cardamom,87.4,85.3,165.3,19.98,2966.8,84.1,5.85,Forest
1017,Ber,53.2,31.9,47.9,39.88,499.2,41,7.51,Arid
1018,Cluster Bean,20.7,56.5,25,29.7,453.1,35.4,7.52,Alluvial
1019,Proso Millet,36.3,20.9,22.7,27.83,441.5,48,7.34,Loamy
1020,Jackfruit,106.8,47.9,81.5,32.32,2219.3,79.6,6.93,Alluvial
1021,Onion,147.2,59.9,95.9,18.43,721,66.1,7.29,Loamy
1022,Okra,100.9,50.9,58.5,22.57,613.2,65.8,6.05,Alluvial
1023,Betel Vine,175.9,114.3,108.2,21.46,2337.9,92.9,6.58,Red
1024,Stevia,91.7,75.7,68.5,18.12,1469.3,84,7.06,Red
1025,Nutmeg,96.9,42.5,83,29.67,3045.1,92.7,5.88,Laterite
1026,Potato,157.3,140.8,158.1,21.77,652.9,60.1,5.99,Alluvial
1027,Safflower,58.3,56.5,24.4,25.07,440.7,53.3,6.07,Alluvial
1028,Chironji,42.5,47,46,39.97,754.3,48.1,7.62,Red
1029,Pumpkin,65.9,44.3,70.6,23.77,605.4,69.4,7.28,Red
1030,Indigo,33.3,43.7,33,26.5,715.8,63.9,6.72,Loamy
1031,Chickpea,21.7,48.6,25.2,16.2,500.7,53.5,7.28,Black
1032,Sweet Corn,120.9,61.7,58.1,22.27,933,73.4,5.89,Loamy
1033,Opium Poppy,82.5,69.5,77.3,9.99,633.5,55.9,6.83,Alluvial
1034,Bamboo,155,51.2,126.1,34.72,1216,69.1,5.23,Forest
1035,Hemp (Mesta),78.5,37.3,52.8,23.07,639,75.6,7.21,Alluvial
1036,Sugarcane,223.6,87.2,135.5,31.35,1840.3,71.5,7.03,Black
1037,Sweet Potato,66.4,49.8,121.3,21.12,809.3,69,5.9,Loamy
1038,Coffee,119,59.9,119.4,19.34,1325.4,76.3,5.41,Red
1039,Brinjal,126.7,76.4,79.8,30.68,1055,73.4,6.33,Loamy
1040,Date Palm,110.2,45.7,106.1,27.02,217.4,36.5,7.84,Saline
1041,Walnuts,189.1,113.7,141.3,21.35,1123.3,69.1,6.47,Karewa
1042,Jasmine,117.5,114,108.9,33.7,1875.3,74.8,7.47,Loamy
1043,Rajma,85.7,76.8,56.8,23.28,989.6,77.4,6.13,Alluvial
1044,Sesame,42.7,33.6,31.8,34.78,655,61.5,6.72,Sandy
1045,Coriander,79.4,47.1,46.2,25.66,784.6,71.9,7.53,Alluvial
1046,Mulberry,205.1,139.3,121.3,30.05,829,78.9,6.76,Black
1047,Plum,121,68.9,114.7,-1.34,1012.3,66,6.25,Forest
1048,Capsicum,114,82.4,110.9,25.97,897.9,68.2,6.26,Loamy
1049,Broccoli,123.4,97.2,94.1,12.52,775.1,68.4,6.79,Alluvial
1050,Cluster Bean,22.9,57.7,20.9,32.9,418,53.1,7.56,Arid
1051,Karakunda,67.3,50.8,56.9,23.73,1213,83,6.69,Forest
1052,Foxtail Millet,45.7,21.3,20.6,30.54,587.9,54.9,6.16,Black
1053,Tulsi,75,49.2,46.9,26.24,1130.6,72.1,6.77,Alluvial
1054,Spinach,84.7,44.6,59.2,2.55,735.1,62,6.13,Alluvial
1055,Drumstick,57.8,49.2,69,33.35,795.3,51.6,7.36,Alluvial
1056,Vanilla,97.7,59.7,97.8,25.21,3261.6,93.3,6.21,Forest
1057,Jasmine,112.3,104.3,109.2,33.64,1676.8,80.3,6.8,Alluvial
1058,Kalmegh,48.1,44.6,47.1,27.34,1876.6,75.1,6.86,Red
1059,Shatavari,48.2,57.6,55.9,26.77,1126.2,72.6,7.97,Red
1060,Amla,63.5,47.2,53.6,24.18,947,45.9,7.53,Alluvial
1061,Mulberry,173.5,128.8,123.2,24.91,1059.9,64.4,7.28,Black
1062,Rajma,99.9,60.8,43.7,23.55,860.5,79.5,6.11,Alluvial
1063,Peach,138.1,75.6,81.6,-3.58,1145.8,58.3,6.45,Loamy
1064,Cashew Nut,66,38.2,43.7,33.92,1719.8,60.8,7.31,Red
1065,Sugarcane,261.3,86.9,140,25.94,1740.1,70.9,7.06,Alluvial
1066,Oats,85.7,47.8,45.3,18.76,523.2,52,6.84,Alluvial
1067,Banana,189,59.7,290.5,30.26,2505.9,78.5,7.09,Alluvial
1068,Linseed,74.9,49.7,37.7,19.09,567.5,45.4,7.16,Alluvial
1069,Vanilla,81.1,55.7,95.8,21.86,3372,90.1,5.82,Forest
1070,Coffee,102.2,53.2,104.4,25.85,1535.9,84.3,5.45,Laterite
1071,Black Gram,24.2,57.8,32.6,25.68,840.2,73.1,7.51,Alluvial
1072,Rubber,111.8,70.2,88.7,29.79,3357.9,90.1,4.52,Laterite
1073,Cabbage,120.4,95.5,99.4,15.95,629.8,74.1,6.82,Loamy
1074,Wheat,126.2,52.9,49,15.77,698.7,45.8,7.37,Black
1075,Rose,120.9,125.2,149.5,28.13,1122.8,70.3,6.49,Alluvial
1076,Star Anise,63.9,50.7,58.1,29.31,2321.3,81,6.25,Mountain
1077,Cauliflower,134.5,97.7,95.4,17.03,535.8,63.1,6.98,Loamy
1078,Moth Beans,19.4,31.1,17.5,32.45,424.7,46.3,7.86,Arid/Desert
1079,Amaranth,57.3,34.4,39.1,26.45,716.2,50.2,7.32,Alluvial
1080,Bitter Gourd,69.6,48,74.6,24.79,812.2,70.5,7.45,Alluvial
1081,Rapeseed,83.2,48.9,37.5,20.92,532.9,61.4,6.67,Loamy
1082,Cherry,138.7,84.2,126.7,12.4,1104.5,68.7,6.83,Forest
1083,Betel Vine,184.1,123.1,142.3,34.44,1945.6,75.6,7.44,Alluvial
1084,Tamarind,58.5,31.4,50.6,26.26,1374.7,60.9,7.82,Red
1085,Groundnut,41.4,60.8,59,26.38,977.5,65.4,7.17,Sandy
1086,Ash Gourd,70.3,52.1,65.5,30.35,570.1,70.9,6.22,Sandy Loam
1087,Black Gram,25.6,45.1,36.6,29.69,917.9,52.6,6.96,Black
1088,Guava,85.2,58,72.4,30.46,1056.4,72.6,5.74,Red
1089,Lemongrass,60.6,53.9,56.8,29.26,1722.6,84.5,6.19,Laterite
1090,Aloe Vera,31.7,34.9,27.8,41.24,308.6,38.9,7.04,Sandy
1091,Soybean,35.5,87.8,40.2,31.31,797.7,67.3,6.69,Alluvial
1092,Indigo,49.9,59.3,42.3,24.19,619.1,65.8,6.69,Alluvial
1093,Turmeric,139.3,54.8,105.2,23.47,2250.2,75.3,6.34,Red
1094,Wood Apple,48.2,46.8,48.1,40.4,865,45.6,7.62,Red
1095,Tea (Clone),127.9,39.8,63.4,18.22,1587.2,83.6,4.91,Laterite
1096,Rose,141.8,140.6,120.4,19.81,923.4,60.8,6.9,Alluvial
1097,Cashew Nut,66.5,36.3,42.3,32.8,1197.9,61.3,7.18,Laterite
1098,Kodo Millet,32,24.2,24.1,23.4,490.1,40.7,6.85,Arid
1099,Apricot,109.1,70.6,102.4,23.13,695.5,53,6.37,Karewa
1100,Little Millet,32.6,22.9,21.1,22.66,578.5,42.4,6.6,Sandy
1101,Apple,185,145,168,-4.31,1131.7,51.8,6.3,Karewa
1102,Curry Leaves,76.4,55.2,62.9,31.64,1010.7,63.5,6.41,Loamy
1103,Onion,103.5,53.1,80.8,15.83,506.8,67.6,7.29,Loamy
1104,Maize (Corn),115.9,66.8,56.1,29.94,753.4,68.2,7.14,Alluvial
1105,Gokhru,34.3,30.8,36.8,29.51,426.7,40.1,7.68,Arid/Desert
1106,Fig,63.1,56.8,91.9,28.25,434,54.4,8.21,Saline
1107,Horse Gram,27.6,34.5,24.7,31.48,676.2,59.3,6.02,Red
1108,Guava,84.5,57.2,87.8,30.5,1312.6,60.8,6.25,Red
1109,Custard Apple,43.1,39.5,54.1,20.67,564.4,69.4,6.96,Red
1110,Plum,120.5,69.1,99.2,-1.03,1009.5,66.7,6.41,Forest
1111,Coffee,146.5,42.9,123.8,23.53,1783.6,86.9,5.96,Forest
1112,Soybean,28.5,84.9,53.8,28.12,941.6,70.1,7.04,Loamy
1113,Mushrooms,13.7,8.7,5.3,23.74,0,83.3,6.79,Peaty/Organic Waste
1114,Fig,76.5,57.1,81.1,33.9,534.3,58.2,7.6,Sandy
1115,Horse Gram,27.4,33.3,29.9,30.91,611.8,50.6,6.03,Laterite
1116,Pineapple,137.2,47.9,141.1,31.05,1545.3,84,4.69,Forest
1117,Jowar,88.3,48.6,48.5,25.72,649.6,50.6,6.37,Loamy
1118,Custard Apple,54.5,38.5,43.3,33.59,937.5,66.5,6.9,Red
1119,Pineapple,108.5,42.9,100.5,29.19,1843.9,73.2,5.13,Laterite
1120,Wheat,103.7,68.2,55.5,11.79,884.8,41,6.04,Alluvial
1121,Sunn Hemp,27,45.9,38.6,24.01,722.9,62,6.59,Loamy
1122,Ashwagandha,39.5,52.9,24.5,26.25,612,61.3,7.67,Black
1123,Amla,87,58.7,52.4,22.93,639.3,51.7,8.48,Saline
1124,Jackfruit,94.4,43.6,115.1,30.94,1908.6,70.2,6.47,Laterite
1125,Pear,147.3,77,88.6,0.91,1085.2,71.3,6.4,Mountain
1126,Groundnut,28.5,51.7,70.2,29.89,543,74.9,6.23,Red
1127,Custard Apple,48.5,42.1,41.2,24.29,663.4,58.9,7.83,Red
1128,Safflower,51,58.1,23.4,23.04,487.6,47.1,7.66,Alluvial
1129,Turmeric,127.6,66.8,101.1,27.35,1814,89.3,6.31,Red
1130,Walnuts,163.6,113.3,138.1,12.09,1112.2,55,6,Forest
1131,Cabbage,121.5,95.5,93.1,21.81,640.6,79.3,6.35,Peaty
1132,Groundnut,35.6,58.9,67,21.35,1061.7,72.2,7.41,Sandy
1133,Rice (Paddy),86.1,51.7,46,20.03,2372.2,89.4,5.95,Peaty/Marshy
1134,Cumin,57.1,28.6,29.8,30.36,202.7,48.4,7.27,Arid/Desert
1135,Sapota,108.4,77.8,92.4,23.04,1138.5,66.8,6.18,Coastal
1136,Tomato,109,82.9,127,28.99,770.7,70.2,6.21,Red
1137,Wood Apple,47.1,38.9,48.6,32.41,948.6,61.5,7.2,Alluvial
1138,Amaranth,50.5,34.7,36.6,20.58,772.8,62,6.2,Alluvial
1139,Tomato,109.7,89.2,110.2,21.84,905.3,69,6.88,Alluvial
1140,Rubber,117.8,64.6,87,27.24,3949.3,76.4,4.52,Forest
1141,Isabgol,54.3,32.8,30.9,24.96,233.4,51.8,7.11,Sandy Loam
1142,Cinnamon,91.8,54.2,88.1,30.27,2166.6,81.3,6.12,Laterite
1143,Fenugreek,56.4,47.5,39.1,25.23,691.9,71.8,6.17,Alluvial
1144,Guar Seed,28.1,53.9,22,27.89,389.1,44.6,7.75,Arid/Desert
1145,Capsicum,107.1,83.4,110.3,25.88,978.9,71.1,6.26,Loamy
1146,Pineapple,148.5,40.5,118,23.36,2378.4,72,4.54,Laterite
1147,Mace,63,59.8,112.3,31.68,3486,81.1,6.51,Coastal
1148,Pigeon Pea,32,53.6,35.8,31.98,679.2,54.1,6.71,Loamy
1149,Groundnut,36.2,64,55.6,27.92,682,73.5,7.13,Alluvial
1150,Wood Apple,54.8,42.1,43.2,28.94,645.2,57.1,7.07,Saline
1151,Maize (Corn),120.4,66.1,48.4,29.96,834.8,66.4,5.95,Forest
1152,Horse Gram,26.5,37.8,29.9,25.47,424.9,42.2,6.34,Sandy
1153,Fig,67.9,44,88.1,22.5,497.8,57.2,6.91,Saline
1154,Sunn Hemp,27.5,50.1,36.8,24.05,943.3,66,6.35,Sandy
1155,Opium Poppy,91,67,73.5,18.24,599.2,69.5,6.78,Loamy
1156,Curry Leaves,74,55.7,77.7,33.74,1371.2,70.4,6.11,Red
1157,Tea,166.6,46.1,85,23.35,2801.4,86.1,4.59,Red
1158,Jowar,95.6,49.9,42.8,25.93,622,43.6,7.02,Loamy
1159,Tomato,149.1,97.4,139.5,22.65,814,68.7,6.84,Loamy
1160,Capsicum,101,80.2,116.5,28.97,905,66.4,6.27,Alluvial
1161,Pear,116.5,73.8,87,18.5,1047.4,69.8,6.19,Forest
1162,Broccoli,142.2,81.4,92,12.65,662.1,68.4,6.97,Loamy
1163,Pear,122.7,71.3,94,14.01,833.1,67.1,6.92,Mountain
1164,Vanilla,84.9,54.2,91.4,24.26,2942.5,80.8,5.71,Red
1165,Ridge Gourd,78.6,51.8,78.6,34.31,729,55.1,7.38,Alluvial
1166,Ginger,108.6,72.5,105.7,27.43,1611.8,84.5,6.53,Alluvial
1167,Hemp (Mesta),70.3,49.7,59.5,34.68,948.9,73.6,7.33,Laterite
1168,Potato,167.4,120.1,165,23.72,741.1,79.7,5.99,Peaty
1169,Jasmine,114.1,115.3,105.3,26.06,1079.6,87.8,6.38,Red
1170,Pomegranate,60.6,52.9,89.6,26.39,570.3,61.3,7.69,Sandy
1171,Aloe Vera,29.7,31.6,21.4,39.1,323.4,31.2,7.71,Saline
1172,Cumin,52.9,23.7,29.1,29.48,251.1,31,7.36,Sandy Loam
1173,Fenugreek,56.8,50.9,29.8,18.72,789,58.6,7.64,Black
1174,Mushrooms,12.5,6.3,6.1,26.43,0,84.4,7.04,Peaty/Organic Waste
1175,Curry Leaves,75.3,59,73.7,26.42,922.6,73.5,7.08,Alluvial
1176,Kinnow,131,55.2,88.7,27.23,682,57.2,7.69,Sandy Loam
1177,Jackfruit,110.8,43.8,101.9,26.49,2415.3,80.4,5.21,Alluvial
1178,Makhana,65.3,46.3,53.7,33.51,2700.7,94.4,6.05,Peaty
1179,Apricot,141.6,79.2,113.1,0.25,876,69.5,6.53,Karewa
1180,Cowpea,36.6,55.6,35.3,23.43,544.1,54.2,6.43,Red
1181,Barnyard Millet,34.9,20.7,23.8,26.3,660.3,44.2,6.87,Forest
1182,Capsicum,112.8,85.4,114,24.85,839.7,63.1,6.74,Alluvial
1183,Barley,76.1,30.6,20.7,3.33,595.1,51.8,7.07,Alluvial
1184,Linseed,71.4,47.5,37.9,23.17,664.8,64.1,6.37,Black
1185,Opium Poppy,83.4,79.3,74.3,20.12,719.9,58.9,6.76,Alluvial
1186,Cashew Nut,67.1,31.3,41.1,23.44,2014.9,66.5,5.49,Laterite
1187,Tamarind,50,34.5,43.6,34.35,999.9,57.8,7.17,Gravelly
1188,Broccoli,139.9,93.5,92,22.41,559.2,84.3,6.93,Loamy
1189,Clove,81.9,49.8,95.7,23.06,2254.9,94.6,5.33,Laterite
1190,Plum,135.9,61.9,84,15.56,707.1,62.8,6.23,Mountain
1191,Okra,107,57.9,51.1,28.77,1056,74.8,7.19,Loamy
1192,Pomegranate,74.4,42,93.2,21.51,825,45.7,7.37,Sandy
1193,Radish,75.1,54.8,68,13.4,705.5,74.2,7.23,Sandy Loam
1194,Coriander,69.3,48.3,49.7,25.88,782,56.7,7.4,Alluvial
1195,Barley,68.7,34.1,23.8,23.9,441.9,47.8,7.49,Saline
1196,Cherry,135.3,87.2,141.6,-1.38,851.7,74.6,6.82,Karewa
1197,Oats,98.2,47,41.5,21.35,620.8,68.2,6.05,Loamy
1198,Okra,107.4,50,50.6,22.09,1019,62.6,6.42,Black
1199,Watermelon,75,69.8,85.9,35.34,606.2,46,6.7,Alluvial
1200,Ragi,77.7,33.2,31.4,24.31,640.2,57.1,7.99,Laterite
1201,Muskmelon,67.9,67,97.1,37.01,629.8,58.7,7.39,Sandy
1202,Litchi,103,64.7,87.7,31.8,1452.3,77.6,6.26,Forest
1203,Gokhru,35.2,20.1,31.3,25.83,403.8,44.7,7.28,Arid/Desert
1204,Plum,112,64.9,87.2,0.76,950.5,66,6.51,Loamy
1205,Foxtail Millet,55.3,27.1,29.8,23.58,628.9,51.5,7.34,Alluvial
1206,Indigo,43.1,44.2,32.3,23.58,609.9,61.6,6.18,Loamy
1207,Niger Seed,51.1,56.8,37.2,28.91,820.9,55.8,6.36,Laterite
1208,Toria,76.4,44.2,30.1,22.33,576.5,56.2,7,Alluvial
1209,Coffee,123.2,41.7,140.8,19.61,2283.8,76.9,6.09,Laterite
1210,Cardamom,94.7,91.9,192.4,16.11,2406.6,87.4,5.88,Forest
1211,Spinach,98.6,48.9,54.9,17.19,705,60.3,6.7,Loamy
1212,Cowpea,37,57.6,23.3,25.22,757.8,57.9,6.24,Alluvial
1213,Coriander,72.6,41.1,49.1,16.33,659.4,64.9,7.39,Black
1214,Chili,105.7,64.4,76.7,26.27,726,59.5,7.18,Loamy
1215,Moth Beans,19.9,34,15.5,31.52,338.4,37.6,7.26,Arid/Desert
1216,Tulsi,63.7,41.5,46.6,21.59,1309.6,68.4,6.04,Alluvial
1217,Coffee,119,44,101.5,21.08,2021,75.3,5.95,Laterite
1218,Tobacco,110.4,52.2,127.7,31.54,993.8,76.3,5.72,Alluvial
1219,Coriander,70.4,49,49.1,16.62,555.3,56.7,6.21,Alluvial
1220,Buckwheat,43.8,31.6,33,13.26,758.3,50.8,5.18,Sub-Montane
1221,Okra,114.7,56.1,51.5,23.21,943.3,69.1,6.42,Alluvial
1222,Pigeon Pea,44.4,61.3,43.2,23.6,912.9,72.1,7.22,Alluvial
1223,Pigeon Pea,39.6,62.4,44.9,23.11,623,74,6.65,Loamy
1224,Arecanut,135.9,49.4,172.1,32.2,2692.3,78.3,6.48,Coastal
1225,Mango,121,53.1,122.4,25.45,1084.8,51.1,6.03,Laterite
1226,Apricot,142.8,78.9,106.7,-0.01,611.7,50.9,6.71,Karewa
1227,Kodo Millet,36.8,23.9,21,22,465.1,52.6,6.13,Gravelly
1228,Groundnut,44.4,53.1,64.6,30.93,875.6,68.2,6.61,Sandy
1229,Mace,68,44,108.5,30.06,2200.9,81.6,6.76,Red
1230,Betel Vine,157.3,108.5,127.6,22.65,2425.7,92.2,6.46,Clayey
1231,Grapes,137.5,187.1,277.9,27.37,590.9,67.5,7.59,Loamy
1232,Sesame,44.8,39.3,40,34.68,642.2,59.8,6.44,Red
1233,Cardamom,75.5,97.3,183.1,25.12,3774.6,91,6.26,Red
1234,Maize (Corn),113.1,72,57.5,18.31,668,52.5,6.07,Loamy
1235,Mulberry,238.8,145.7,125.5,31.23,1093.7,67,6.56,Black
1236,Popcorn,148.1,79.4,44.2,29.25,688.2,68.3,5.84,Loamy
1237,Sugarcane,277.9,88.3,145.4,34.67,1835.5,84.7,6.88,Black
1238,Guar Seed,24.6,56.2,22.5,25.42,395.6,31.6,7.22,Sandy
1239,Khesari,18.1,48.6,20.5,15.56,436.4,41.8,6.88,Clayey
1240,Barley,77.9,30.9,26.2,16.26,476.1,48.2,7.66,Loamy
1241,Garlic,111.9,57,91.1,22.51,653.3,73.8,6.22,Alluvial
1242,Groundnut,28.1,53.2,52.8,26.78,795.6,70.9,6.43,Sandy
1243,Custard Apple,55.6,37.8,40.3,29.45,527.2,67.3,7.72,Sandy
1244,Grapes,147.1,193,290.5,20.8,848.8,55.2,7,Alluvial
1245,Black Gram,24.1,41.7,35.3,27.22,807.5,54,7.79,Black
1246,Pumpkin,77.9,58.8,79.3,33.98,869.2,58.8,6.59,Sandy Loam
1247,Opium Poppy,85.6,75.7,77.5,12.95,542.5,52.2,6.64,Alluvial
1248,Apricot,140.7,79,115.3,8.89,700.1,63.7,6.29,Mountain
1249,Buckwheat,59.5,39.5,32.5,21.11,530,50.1,5.32,Sub-Montane
1250,Kinnow,114.8,63.4,107.1,21.89,649.2,68.3,7.98,Sandy Loam
1251,Cardamom,80.6,84.3,192.3,18.92,3150.4,91.3,5.85,Red
1252,Stevia,86.5,62,62.4,27.2,1730.6,81.3,6.95,Red
1253,Rice (Paddy),101.3,44.4,42.1,21.71,1275.4,72.9,5.8,Peaty/Marshy
1254,Niger Seed,52.1,40.3,39.1,24.76,897.5,61.3,5.71,Gravelly
1255,Betel Vine,167.8,145.1,118.5,27.25,2330.8,78.8,6.9,Clayey
1256,Garlic,103.4,56.8,89,23.29,696.1,66.1,6.5,Black
1257,Pear,109.2,75.5,83.5,-0.5,866.3,60.4,6.34,Mountain
1258,Isabgol,48.4,36.7,32,24.6,261.9,48.2,8.41,Sandy Loam
1259,Cinnamon,99.3,45.8,86.8,26.19,3496.3,75.8,5.1,Red
1260,Cocoa,101.9,66,143.5,23.74,2488.2,75.7,6.76,Red
1261,Onion,104.5,57.1,89.9,23.71,581.1,72.3,6.47,Black
1262,Cinnamon,99,51.3,80.2,28.43,2469.1,78.9,5.04,Laterite
1263,Rubber,109.1,70.5,85.7,28.55,3082,76.8,5.64,Forest
1264,Drumstick,66.7,44.2,69.2,27.51,589,62.3,7.26,Alluvial
1265,Hemp (Mesta),61.3,30.5,55.4,32.88,850.1,84.7,5.59,Red
1266,Jowar,83.4,48.3,49.2,29.77,501.5,59.7,8.01,Black
1267,Wheat,111.6,57.7,57.5,20.29,777.2,46.2,6.65,Loamy
1268,Green Gram,39.1,46.3,25.3,26.8,601.5,65.7,6.91,Alluvial
1269,Jowar,90.6,49.6,45.5,28.9,642.3,42.1,7.6,Alluvial
1270,Cauliflower,134.3,83.7,86.2,15.37,500.5,62.2,6.13,Alluvial
1271,Opium Poppy,80.4,79.7,72.1,20.43,627,67,6.74,Loamy
1272,Marigold,77.7,84.1,78.9,24.38,683.8,68.9,7.4,Red
1273,Ridge Gourd,74.5,59.5,66.1,28.41,783.1,74.8,6.18,Sandy Loam
1274,Oil Palm,185.8,96,198.5,28.89,2596.5,89.7,5.37,Alluvial
1275,Date Palm,93.8,59.2,94.3,35.51,126.8,30.3,7.71,Sandy
1276,Litchi,145.3,76.4,103.9,25.72,1451,75.6,6.1,Loamy
1277,Makhana,78.7,50.6,40.8,24.2,2392.7,85.9,6.66,Peaty
1278,Rubber,87.8,77.1,101,27.95,2958,77.3,5.23,Laterite
1279,Avocado,110.7,71,127.2,28.88,1359.1,70.7,5.42,Red
1280,Mango,141.1,79.6,112.8,25.3,1415.2,67.7,5.7,Alluvial
1281,Brahmi,61.3,40.6,43.9,31.97,2218,82.9,6.77,Peaty/Marshy
1282,Fig,76.6,52.8,90.6,25.67,508.8,52.9,8.04,Alluvial
1283,Soybean,32,87.2,46.8,24.49,664.3,70.3,6.43,Loamy
1284,Jowar,92.5,44.7,42.8,26.68,491.4,43.1,8.2,Black
1285,Wood Apple,45.4,40,59.5,30.49,445.4,55.9,6.51,Alluvial
1286,Neem,48.1,28.7,45.4,35.69,440.5,47.6,7.67,Saline
1287,Guar Seed,20.1,43.1,29.2,37.52,353.5,47.5,7.07,Arid/Desert
1288,Clove,81.5,46.6,99.1,27.64,2596.1,88.1,6.1,Red
1289,Marigold,67.7,73.4,60.7,21.06,943.9,60.6,6.97,Loamy
1290,Sunn Hemp,20.1,45.3,32.6,23.9,742.5,60.8,5.59,Loamy
1291,Barley,74.1,39.5,20.8,5.98,550.4,43.3,7.65,Loamy
1292,Bitter Gourd,79.7,53.1,63.8,34.04,862,71.5,6.44,Sandy Loam
1293,Wood Apple,51.9,46.6,57.1,28.87,923.3,56.9,7.54,Red
1294,Almonds,169.4,94,115.9,10.09,527.7,62.8,6.54,Mountain
1295,Tamarind,40.5,34.6,49.9,37.11,878,74.4,6.02,Red
1296,Cotton,127.1,59.6,57,33.49,804.1,64,6.06,Laterite
1297,Okra,116.5,51.2,54.4,32.57,622.5,75.3,6.03,Loamy
1298,Gokhru,37.8,37.7,27.5,28.55,552,40.9,8.33,Arid/Desert
1299,Nutmeg,97.1,53.7,80.2,27.75,3483.3,87,6.7,Red
1300,Green Gram,28.8,41.1,26.2,33.49,682.4,54.3,6.8,Alluvial
1301,Foxtail Millet,57.6,23.8,27.2,31.26,717.6,48.1,6.08,Black
1302,Cinnamon,81.9,58.2,96.5,22.35,3395.5,79.8,5.15,Red
1303,Bajra,78.8,39.6,31.8,32.14,476,50.6,8.49,Alluvial
1304,Green Gram,37.1,47.8,26.6,25.76,625.3,52.9,7.36,Red
1305,Green Gram,35.5,42,22.9,34.08,640.3,56,7.39,Red
1306,Cherry,147.5,85.3,142.2,9.82,1165.6,74.1,6.65,Karewa
1307,Cashew Nut,64.5,31.6,43.8,32.16,1493.4,63.9,5.12,Laterite
1308,Cardamom,81.1,99.2,172.3,18.2,3557.8,90.1,6.38,Red
1309,Rapeseed,87.4,51.2,33.8,8.99,547.4,52.2,6.97,Loamy
1310,Carrot,83.6,86.2,115.5,14.91,794.4,62.3,6.82,Sandy Loam
1311,Oil Palm,167.3,80.1,234.2,26.91,2310.5,80.8,5.58,Laterite
1312,Rubber,103,61.4,91.3,33.03,2294.6,94.8,5.95,Laterite
1313,Pomegranate,63.8,50.7,65,32.59,541.5,54.9,6.57,Sandy
1314,Ber,54.7,45.7,42,24.75,385.2,47.6,8,Sandy
1315,Pineapple,101.4,44.2,134.3,20.43,1759,77.2,4.79,Forest
1316,Opium Poppy,98.4,64.6,75.1,10.53,705.7,55.5,7.19,Alluvial
1317,Marigold,65.6,82.1,80,18.88,618.7,61.2,6.78,Red
