N,P,K,temperature,humidity,ph,rainfall,label
77.7,34.2,43.5,26.3,61.2,6.36,1118.4,Amaranthus
32.6,42.4,27.7,18.4,37.5,7.38,433.4,Gram
65.5,32.3,40.4,32.5,57.3,7.73,848.1,Cotton
67.7,33.9,101.3,27.3,82.6,6.73,1957.7,Betel Nut
98.6,60.3,45.4,35.7,65.2,6.68,813,Okra
69.5,42.7,81.5,18.1,60.1,6.59,462.4,Carrot
149.3,93.9,108.7,15.3,72.9,5.48,489.8,Potato
81.9,33.9,96.2,28.2,81.8,6.2,1992.5,Black Pepper
103,51.5,100.8,25.5,73.4,6.12,1613.7,Ginger
23,32.7,33.3,30.9,47,7.23,631.2,Horse Gram
92.2,27.1,57.4,24.2,67,6.06,469.4,Radish
80.6,39.9,103.6,35.2,66.9,6.79,1532.3,Turmeric
89.3,55.5,64,19.4,57.4,5.72,752.3,Capsicum
26.8,36.6,24.9,19.9,41.7,6.42,292.8,Fenugreek
33.6,51.6,25.1,28.3,61.6,7,834.1,Arhar Dal
40.6,26.5,23,22.1,25.6,7.31,315.9,Cumin
62.3,42.5,52.2,21.5,61.4,7.16,596.8,Garlic
99.5,46.3,69.3,32.6,65.5,6.66,703.1,Bottle Gourd
36.3,25.6,24.4,11.1,43.5,7.27,376.2,Fennel
70.5,41,54.5,25.7,45.1,6.63,491.1,Muskmelon
100.5,46.4,76.3,28.7,64.8,6.69,812.3,Bottle Gourd
80,38.1,36,33.6,53.8,7.27,330.9,Bajra
82.8,35.1,33.4,34.8,40.6,7.54,273.1,Pearl Millet
100.4,59.7,115.5,27.9,82.9,6.42,1506.4,Ginger
91.5,44.5,34.1,7,41,6.93,440.1,Barley
76.1,45.3,38.3,29.4,46.7,7.9,499,Bajra
86.9,49.6,51.5,24.8,74.9,6.64,517.3,Lettuce
61.2,25,110.1,34.7,78.2,5.47,1797,Pineapple
78.4,45,83.3,14.9,56.5,6.88,502.7,Carrot
96,35.5,53.6,21.3,67.6,6.76,610,Spinach
56.9,46.3,92.2,21,90.6,5.03,2226,Cardamom
104.1,58.9,72.4,29.4,58.4,6.35,768.9,Bitter Gourd
83,23.8,97.4,29.5,84.8,6.12,2052.4,Black Pepper
142.4,38.3,111.4,26.5,86.9,4.6,1949.1,Tea
73.8,40.5,40.3,34.8,49.3,6.08,601,Jowar
100.3,58.7,104,20.3,80.2,6.37,2037.2,Jackfruit
87.8,73.7,55.6,29.2,62.5,6.31,937.7,Maize
90.1,59.6,132.6,28.7,59.2,6.46,969.2,Tobacco
28.4,27.9,32.1,24.9,41.6,7.48,697.7,Ashwagandha
81,54.5,56.1,21.3,65.4,6.84,508.1,Chilli
29,45.6,15.8,29.8,57.4,6.26,673.5,Arhar Dal
92.4,61.4,87.8,30.1,95.1,5.48,2138.3,Rubber
67.1,41.9,19.6,32.2,37.9,6.79,401.1,Bajra
41.4,48.2,24.5,28.2,51,7.13,445.7,Cluster Bean
45.9,29.1,30.2,25,63.7,6.73,667.1,Niger
109.6,43,73.9,29.9,55.9,6.15,553.1,Onion
34.7,38.6,29.4,29.4,25.6,7.3,230.6,Fennel
227.6,74.4,112.3,24.5,80,6.92,1287.2,Sugarcane
20.9,19.3,29.7,22,38.2,7.52,181.6,Guar
50.4,43.3,121.9,26.2,69.8,5.38,610.5,Sweet Potato
87.4,36.6,64.6,33.2,66.1,7,663.2,Okra
58.9,34.1,25.7,18.7,34.2,7.17,294.5,Coriander
49.2,41,65,25.8,63.5,6.72,833.9,Pumpkin
106.9,50.8,73.6,25.7,66.9,6.54,762.2,Brinjal
13.4,25.9,36.5,26.7,42.2,6.85,465.3,Horse Gram
46.9,44.8,57.5,25.9,79.7,6.64,799.2,Snake Gourd
107.2,63.7,141.2,24.8,85.2,5.82,2274.4,Taro
26,30.2,30.6,19.4,28.5,7.1,299.8,Fenugreek
64.6,56.5,173.5,29.7,86.1,6.1,1640.6,Coconut
79.2,43.8,62,17.1,61.3,6.14,844.3,Lemon
63.9,34.2,33.7,29.2,54.8,6.55,587.8,Jowar
56.3,44.9,40.1,29.9,37,7.13,336.5,Ber
35.4,52.1,49.6,27.8,58.9,6.26,601.1,Groundnut
152.9,55.4,88,18.6,65.4,6.21,598.3,Broccoli
97.8,53.4,30.6,29,61.9,6.91,513.9,Sorghum
52.4,24.8,49.2,28,57.5,5.31,754.5,Curry Leaf
124.6,55.2,49.7,29.1,74.7,7.87,728.7,Mentha
106.7,26.7,60.5,31,61.2,7.01,905.4,Cotton
70.6,43.5,55.7,24.2,43.2,7.05,434.4,Sunflower
85.9,38.4,51.5,23.1,60.8,6.02,547.2,Radish
63.5,31.6,94.1,28.7,70.1,6.54,1812,Turmeric
73,54.5,110.5,33.2,72.7,6.28,1308.9,Turmeric
189.6,58.7,118.2,29.3,65.4,6.74,1280.6,Sugarcane
35.5,37.3,38.6,20.5,49.3,7.41,267.4,Coriander
72.7,32.5,36.8,12.9,54.4,7.09,389.4,Barley
174.9,49.5,178.8,32.7,82.1,7.32,1574.2,Banana
114.4,79,48.2,23.9,62.2,6.29,1242.6,Maize
27.1,37.9,36.5,32.6,70,7.04,636.3,Urad Dal
57.6,33,31,19,36.7,7.83,395.5,Pearl Millet
142.6,56.7,49.7,29,66.3,7.5,1137,Mentha
28.7,54.7,36,32.6,62.8,6.17,703.8,Greengram
68,34.4,78.7,34.8,59.4,7.07,497.3,Watermelon
28.5,48.7,36.9,29.7,63.7,6.8,539.4,Urad Dal
54.2,31.2,67.1,33.9,59.2,7.42,897.8,Tamarind
109.1,42.7,69.6,27.7,65.5,6.78,932.5,Brinjal
30,54.6,27.3,27,54.5,6.23,497.1,Greengram
73.8,44.8,52,21,68.1,5.91,533.4,Spinach
90.4,62.1,40.4,13.6,50.7,6.14,510.7,Garlic
66,47.8,106.8,24.4,65.7,5.32,932.7,Sweet Potato
31.8,48.3,40,29,58.1,6.81,603.9,Mung Bean
105.6,46.9,77.2,31.5,67.3,7.28,733.9,Bitter Gourd
132.9,42.7,148.1,15,74.7,5.74,1680.7,Coffee
86.7,50.9,51.3,33.1,79.6,6.48,454.9,Ridge Gourd
34.9,35.2,65.5,24.8,70.2,8.25,709,Amla
23.4,46.1,38.2,33.7,63.9,6.44,700,Greengram
62.3,57.1,110.1,22.1,48.3,6.67,447.2,Beetroot
73.9,41.2,61.8,24,59.2,6.58,907.9,Chilli
84.1,34.9,46.8,13.4,63.5,6.54,562.8,Radish
137.5,66.9,113.5,22.1,63,7.06,718.4,Tomato
75.5,50.5,132,28.7,82.8,6.71,1176.4,Coconut
59.8,33.7,60.4,22.7,67.7,6.57,500.6,Ash Gourd
93.3,55.7,92.5,21.6,66.1,7.65,659.7,Onion
60.4,38.6,41.5,35,52.5,6.73,571.1,Jowar
91.4,43.9,67,24.2,64.8,6.88,709.1,Ridge Gourd
33.3,67.1,59.8,27.8,66.9,6.52,631.4,Soybean
112.5,53.1,64.5,15.8,70.4,6.57,698.8,Lettuce
122.6,50.7,46.6,22.8,81.2,6.24,1363.7,Paddy
84.2,47.6,34.6,32.3,54.4,5.93,810.6,Amaranthus
64.8,44.1,68.1,24.3,75.3,6.64,615.9,Snake Gourd
60.4,45.2,73.3,19.4,59.6,6.9,636,Pumpkin
150.8,75,154.7,34,71.7,6.26,1437.8,Papaya
114,69.5,88.8,26.1,64.7,5.3,1179.5,Orange
83.4,47.8,51.9,26.4,66.7,6.13,1036,Lemon
89.4,44.8,59.7,21.2,53.8,6.14,835.4,Lemon
69.5,62.3,157.7,32.6,73.5,7.43,1668.7,Coconut
21.8,14.9,29.5,41.8,24.3,7.86,318.4,Guar
165.1,53.9,155.8,26.3,81.5,6.41,1384,Banana
190.7,68.2,152.1,33.6,79.8,6.44,1279.4,Banana
75.8,43.4,68.3,31.4,64.8,7.29,925.5,Ridge Gourd
46.4,41.2,64.4,23.2,81.7,5.54,1529.1,Cardamom
112.2,47.8,77.1,11,63.8,6.59,603.9,Cabbage
91,41,64.5,29.3,71.8,7.12,791.2,Okra
73.4,51.1,81.2,25.5,72.6,6.15,560,Cucumber
76.9,38.7,37.8,32.1,63.5,7.04,612,Jowar
105.3,53.9,82.3,32.4,76.8,5.78,1368.6,Litchi
28.6,23,32.8,26.2,42.7,7.99,779.3,Ashwagandha
16.7,37.4,31.8,27.2,51.5,7.12,727,Horse Gram
162.6,66.6,170.7,29.6,67.5,7.54,1644.9,Banana
31.3,60,51.4,18.5,60,6.77,444.5,Pea
68.3,19,20.2,27.5,54.9,6.04,575.2,Ragi
24.6,58.4,39.4,15.3,56.9,7.23,447.6,Pea
21.9,16.9,27.3,32.4,45.8,7.86,283.9,Moth Bean
123.5,53.6,48.6,27.5,82.7,6.24,253.8,Rice
75.9,52.3,75.6,29,71.1,6.02,544.8,Cucumber
77.3,59.7,83.6,22,66.8,5.78,907.3,Tobacco
65,31,36.6,35.3,38.2,7.12,197.8,Pearl Millet
93.5,51,76.5,29.8,65.9,6.52,500.2,Brinjal
34.8,29.9,28,11.4,42.9,6.69,338.7,Linseed
55.7,31.9,76.9,30.7,59.8,6.63,713.8,Tamarind
84.6,40.2,72.4,27,83.6,6.99,2025.3,Betel Nut
93.2,57.1,64.7,25.5,76.2,7.04,844.1,Okra
49.9,32.3,27.2,16.9,35.9,7.57,329.7,Cumin
50.4,28.9,32.4,21.2,35.8,7.63,284.9,Fennel
33.7,19.7,26.5,23,37.5,7.89,512.5,Safflower
32.4,42.8,30.8,17.4,54.4,6.85,453.7,Lentil
70.9,45.6,60.2,20.5,70.8,6.33,600.3,Ash Gourd
119.6,52.7,53,32.7,53.4,6.16,1067.2,Cotton
67.7,32.1,29,32,46.7,7.41,225.5,Pearl Millet
48.8,33.1,55.1,36.6,56.9,7.21,966.3,Amla
76.6,45.7,55.6,33,68.5,6.24,934.6,Ridge Gourd
26.6,24,24,30.1,56.4,6.34,442.3,Horse Gram
86.8,51.3,90.6,31.1,84.4,4.96,1789.9,Ginger
16.3,72.1,46.5,22.3,72.3,6.32,826.9,Soybean
23.4,50.7,26.2,28.8,57.4,6.25,539.8,Greengram
91.1,36,77.5,18.9,63.3,6.51,1721.2,Guava
33.2,46.7,20.4,24.4,59.9,7.34,769.1,Arhar Dal
30.3,54.3,27.9,26.2,62.4,6.96,467.4,Greengram
33.6,56.5,20.6,29.6,69.1,6.84,825.4,Pigeon Pea
28.6,50,49.8,17,58.8,6.52,470.7,Pea
70.6,63.9,71.4,32.3,64.4,6.93,592.5,Cotton
74,56.6,52,28.3,74.9,6.52,659.5,Okra
28.8,31.8,35.1,7.3,54.6,6.27,304.1,Fenugreek
32.9,44.7,25.3,29.3,57.2,6.94,614.2,Blackgram
19.4,47.1,41.4,35.7,51,7.12,401.6,Cluster Bean
59.5,35.9,57.8,25.5,48,6.46,1173.8,Amla
73.9,49.6,38.5,32.8,55.6,6.42,673.5,Sorghum
113.5,48.1,91.5,31.3,76.7,6.99,1149.5,Mango
73.9,41.7,60.1,27.5,44.5,7.16,419,Pomegranate
20.5,45.7,52.9,21.1,68.3,6.52,314.5,Field Pea
39.6,53.2,32.4,31.1,67.3,7.21,621.7,Pigeon Pea
75,63,76.7,32.1,82.5,5.39,2859.8,Rubber
79.1,26.9,85.9,30,71.5,6.54,2234.6,Clove
118.4,76.1,105.4,26.3,70.4,5.72,933.9,Tomato
184.4,65.9,170.1,32.2,84.9,6.5,1598.5,Banana
53.4,35.4,67.5,25.6,71.2,6.53,707.9,Tamarind
26.9,53.8,21.9,30.9,64.8,6.31,674,Greengram
119.6,55,49.6,31.5,75.7,6.39,1319.9,Paddy
103.1,43,80.5,16.8,64,6.76,432.1,Cabbage
63.6,28.2,53.3,30.7,82.2,5.76,2159.4,Clove
76.4,27.6,37.6,27.6,59.8,4.83,542.2,Ragi
37.5,60.3,28.3,32.1,62.4,6.71,525.6,Mung Bean
114.6,39.6,141.9,19.2,78.1,5.78,1988.6,Coffee
43.1,18.6,52.7,38.5,69.8,5.2,773.1,Curry Leaf
195.7,79,124.1,23.4,68.6,7.15,1494.1,Sugarcane
69.5,44.1,41.3,38.1,41.4,6.88,501.4,Castor
108.3,52,54.6,26.8,61.8,6,1023.3,Rice
28.2,51.7,28,18.6,49.8,7.28,368,Lentil
123.2,54.9,55.1,27.6,77.2,6.11,1691.3,Paddy
34,48.8,31.9,29.1,62,7,427.7,Greengram
21.1,34.8,32.4,31.4,46.1,8.65,311.7,Guar
142.7,48.2,47.6,36,74.2,7.62,929.6,Mentha
20.2,52.9,60.3,35.1,51.4,5.71,605.3,Groundnut
81.2,53.3,56,33.9,73.8,6.74,915.2,Ridge Gourd
89.5,43.3,78.5,26.8,62.6,6.17,888.6,Brinjal
27,53.1,29.4,29.3,58.6,6.55,763.2,Greengram
129.4,63.5,46.3,25.9,61.1,6.36,1016.2,Maize
86.2,52.9,54.6,34.7,72.8,6.65,1736,Rice
75.4,33.3,67.4,35.2,54.4,6.47,578.6,Muskmelon
70.7,56,26.1,23.5,58.7,5.2,603.5,Capsicum
90.7,53,96.1,34,75.1,6.18,1666.8,Ginger
49.3,33.4,28.4,12.6,36.6,7.23,293.2,Cumin
57.5,37.9,65.2,28.8,75.5,6.6,847.8,Snake Gourd
111.1,63.2,118,35.4,64.6,6.88,1088.9,Papaya
166.4,47.9,202.8,31,68.9,6.7,1817.7,Banana
46.5,37.8,88.3,19.3,52.8,6.44,723.4,Pumpkin
93.8,41,102.2,32.1,92,5.34,2112.8,Black Pepper
30.4,49.6,24.1,14.9,50.9,7.16,345.1,Gram
20.8,24.6,18.4,31.5,30.9,8.8,428.5,Moth Bean
97,50.7,62.5,24.9,57.4,6.31,616,Brinjal
14.2,40.7,20.6,31,24.4,7.39,368.3,Moth Bean
30,51.2,35.9,30,49.9,7.8,390.6,Cluster Bean
39.3,25.9,34.5,27.1,54.5,6.83,777.8,Niger
48.5,18.1,26.7,26,64,7.09,733.2,Ragi
75.2,52.4,81.5,27.8,74.1,6.66,1364.3,Turmeric
16,23.1,21.3,29.2,37.2,7.91,516.2,Guar
22,28.8,33.9,13,45.5,6.4,396.3,Fenugreek
114.4,94.9,100.3,19.3,68.9,6.38,571.5,Potato
65.1,31.3,53.2,33.5,54.3,6.69,774.3,Tamarind
78.9,25.5,40,35,70.8,6.62,2155.4,Jute
28.9,30.3,29.1,16.2,26.7,6.65,315.4,Fenugreek
63.8,37.4,68.2,19.4,73.4,6.48,748.1,Ash Gourd
83.5,43.8,195.4,32.6,89.7,6.47,1420.3,Coconut
90.3,53.5,88.4,35,55,6.25,889.3,Mango
89.1,51.3,56.1,30.1,61.4,6.57,674.4,Chilli
155.3,83.4,116.3,28.7,77.3,5.88,1227.5,Sugarcane
81.1,41.1,87.3,36.3,75.1,5.87,1537.5,Litchi
98.9,56.3,50.4,11.3,70.1,7.49,468.1,Wheat
51.4,39,35.9,32.4,53.6,6.56,663.9,Sesame
55.3,47.6,135.4,22.3,69.6,5.76,729.3,Sweet Potato
97.1,55.3,63.9,16.4,62.1,6.5,485.8,Cauliflower
46.5,46,90.4,24.9,58,6.93,862.1,Pumpkin
59.1,24,79.2,27.4,56,6.7,872.2,Tamarind
82.3,60,91,21.2,60.6,7.73,532,Carrot
92,40.1,58.9,34.2,60.7,6.43,793,Cotton
86.2,30.5,48.4,28.2,75.7,6.78,1972.4,Jute
55.7,49.2,49,24.1,66.7,6.03,799.7,Capsicum
34.4,23.2,27.5,29.2,53.6,6.8,416.5,Ragi
123.2,46.3,137.7,22.1,82.8,4.89,1874.9,Coffee
41.7,67.9,49.6,21.5,47.7,6.47,896,Soybean
105.8,47.1,48.3,28.2,80.9,6.12,1515.4,Paddy
61.7,38.3,62.1,21.8,52.8,6.12,697.1,Capsicum
86.4,35.9,46.6,29.4,77.5,6.72,1554.2,Jute
92.9,54.4,127.5,15.1,58.2,6.98,583.8,Beetroot
54.8,33.7,28,31,45.9,6.9,452.6,Safflower
84.5,45.3,51.6,30.1,74.1,6.64,863.8,Chilli
116.6,54.7,109.6,23,83.5,6.43,1764.9,Jackfruit
204.8,85.1,79.4,23.9,72.4,5.94,1546.7,Sugarcane
106.4,41,47.3,24.7,68,6.46,1523.7,Paddy
22.9,22.4,15.5,39.1,31.4,7.38,263.8,Moth Bean
43.8,29.5,55.1,34.9,62.2,7.2,316.4,Ber
142.8,55,49.7,28.8,64.2,6.81,1066.6,Mentha
32.4,54.1,31.8,30.3,59.4,6.88,733.4,Pigeon Pea
41.6,25.9,27.5,21.5,37.2,7.3,325.3,Fennel
57,33.1,29,37.4,31.1,8.75,383.2,Pearl Millet
59.8,40.4,55.9,23.5,33.9,7.41,466.5,Pomegranate
46.5,29.3,19.5,25.5,53.6,6.04,623.9,Sesame
37.6,55.5,31.1,27.4,48,6.73,810,Blackgram
68.4,26.9,41,36.7,46.1,7.42,450.6,Ragi
100.3,46.9,77.8,21.3,62.2,6.94,708.7,Onion
89.3,39.4,36.5,30.7,70.3,7.16,790.6,Amaranthus
77.1,45.6,59.9,24.8,57.8,6.15,665.8,Lemon
13.2,28.6,41,27.2,53.4,7.57,463.7,Guar
97.3,46.1,118,29.7,55.8,8.32,579,Grapes
90.7,44.1,66,29.3,76,6.46,1518.4,Rice
73.1,40.9,71.9,38.2,58.3,6.59,733.3,Okra
66.8,42.9,92.5,26.2,85.3,5.55,2047.1,Cardamom
54.1,39.5,45,15.8,77.2,6.72,489.1,Spinach
85.8,36.4,44.7,28,60.7,6.53,881.2,Amaranthus
64.5,54,83,25.7,80.9,5.54,2262.4,Rubber
41.7,35.7,36.7,19.6,40.5,7.97,357.2,Fennel
94.8,57.3,81.6,21.1,54.4,6.85,576.1,Beetroot
99.5,52.8,98.2,18.6,82.9,4.79,2222.7,Tea
104.4,41.9,84.6,17.4,67.8,7.36,631,Cauliflower
86.5,48.3,33.2,5.7,43.4,7.61,362.5,Barley
86.9,32.7,52.1,31,68.1,7.36,927.3,Cotton
65.5,39.2,59.9,25.1,44.2,6.08,487,Pomegranate
112.1,53.8,137.9,26.6,71.4,6.7,2176.3,Jackfruit
110.7,53.9,74.4,34.5,84.8,6.32,1626.6,Ginger
104.6,37.9,51.7,33.7,67.7,5.58,947.9,Rice
100.4,38,30.8,26.7,69.7,7.14,478.1,Sorghum
105.5,43.4,84.8,28.5,50.7,6.23,616.1,Watermelon
81.8,51,84.3,12.6,61.1,6.46,504.3,Carrot
121.6,49.9,46.3,16.2,54.7,7.24,408.3,Wheat
86.4,49.3,68.2,19,61.6,6.76,510.3,Carrot
75.8,35.4,34.8,31.8,61,6.92,409.7,Bajra
80.4,46.8,46.2,15.6,58.8,7.01,591.3,Spinach
115.6,66.6,49.3,33,53.7,7.72,891,Cotton
84.9,44.2,137.7,24.8,60,5.66,660.8,Tobacco
26.3,61.1,36.1,34.1,38.4,8.01,525.9,Cluster Bean
59.6,20.7,24.7,29.6,54.4,6.99,629.1,Ragi
57.3,26.4,31.2,28.1,40.5,6.32,551.6,Sesame
75.4,42,50.8,14.3,65.4,7.24,483.2,Spinach
34,30,28.8,21.3,35,7.37,329.2,Cumin
72.7,73.6,110.7,17.6,63.5,7.26,503.7,Beetroot
85.6,47.2,87,28.5,81.8,5.21,1654.1,Black Pepper
29.1,73.1,51.8,23.1,52.7,6.38,864.7,Soybean
24.7,49.1,27.6,21.2,45.7,7.6,464.8,Chickpea
68,28.4,73.8,33.3,63.6,7.03,1273.4,Amla
82,37,105.9,24.7,78.3,6.62,1828.7,Betel Nut
82.3,29.5,92.5,29.1,67.2,6.25,2099,Betel Nut
88.4,53.3,88.7,29.2,92.7,5.32,2485.1,Rubber
38.4,34.1,26.8,19,49.4,7.59,452,Coriander
31.2,22.6,41.3,16,39.2,6.18,296,Fenugreek
68,42.7,71.6,34.4,55.1,6.4,569.6,Watermelon
77.9,60.5,72.6,18.4,57.8,6.29,559.5,Turnip
126.6,57.5,45.8,10.3,35.6,6.48,479.8,Wheat
37.8,59.8,28.5,25.5,60.8,6.7,666.7,Blackgram
37.7,49,52.9,28.6,59.3,6.45,734.4,Groundnut
118.5,50.4,132.8,29.1,84.8,5.22,2071.3,Coffee
50.2,30.6,28.1,28.6,49.7,5.27,599.7,Sesame
154.2,108.3,139.9,35.2,63.5,7.36,1276.9,Sugarcane
74.6,31.3,58.2,29.5,55.3,7.98,735.8,Amla
57.2,44.8,60.5,24.3,56.4,6.35,741.2,Pumpkin
97.6,47.7,77.8,24.9,60.1,6.12,578.5,Onion
133.4,69.9,51.9,29.1,51.2,6.31,641.5,Maize
77.2,52.4,44.7,27.3,47.1,7.69,406.5,Sunflower
27.8,55.7,32.5,30.9,53.6,6.64,644.1,Mung Bean
79.1,44.1,52.8,20.3,52.9,5.69,1004.3,Lemon
91.5,39.4,68.9,29.5,60.5,7.12,448.4,Watermelon
185.4,80.2,126.3,22,77.9,7.87,1112.2,Sugarcane
79.9,52.6,74.4,16.9,63.6,6.83,531.4,Carrot
31.3,53.3,26.2,18.2,45.1,6.71,313.1,Chickpea
61.3,38.3,63.5,33.9,49.3,7.04,399.6,Pomegranate
35.5,39.4,19.9,23.8,37.5,7.49,302.2,Coriander
32.6,50.8,35.7,28.4,58.7,6.38,713.7,Urad Dal
113.9,41.3,71.9,37.6,65.5,7.11,776.5,Bottle Gourd
38.5,51.5,31.4,19.5,35.9,7.15,378,Gram
143.5,38,43.8,25.1,65.4,7.06,878.6,Mentha
82.3,44.6,86.7,24.3,59.1,6.12,766,Tobacco
72.7,36.6,38.4,25.9,54.7,7.51,536.1,Mustard
195.7,81.2,125.8,28,66.8,6.6,1756.7,Sugarcane
83,51.2,72.3,19.2,66.6,6.33,797.1,Capsicum
95.9,48,120.3,24.6,80.6,6.38,1469.8,Taro
72.7,51.7,50.6,25.7,55.1,6.58,493.7,Sunflower
78.6,29.9,41.8,27.1,72,6.9,784.4,Ash Gourd
31.2,45.7,61.8,20.9,63,6.23,489.4,Field Pea
105,58.4,73.4,28.8,89.7,6.46,1629.9,Ginger
187.7,59.8,157.2,40.6,88.6,6.97,1224.4,Banana
40,32.2,89.3,23.3,79.2,6.04,2208.3,Clove
100.1,48.6,78.6,21.6,63.8,6.43,357.3,Cabbage
96.2,35.3,126.5,30.9,72.6,6.13,974.2,Tobacco
68.9,21.8,71.4,31.5,59.3,5.76,721.5,Drumstick
124.6,59.9,98.7,25.3,59.3,6.35,1094.4,Orange
28.1,36.2,21.2,31.6,34.8,8.39,496,Ashwagandha
78.5,43.5,119.8,30.9,65.9,7.14,2337.3,Jackfruit
96.1,53.3,76.1,32.7,58.1,6.99,907.3,Bitter Gourd
81.2,62.8,159.7,27.5,79.9,6.25,1884.9,Taro
11.8,25.5,37.5,40.5,40.1,7.57,418.2,Guar
117.2,54.7,67.5,30.9,73.3,6.45,1285,Litchi
77.7,56.4,95.4,20.4,55.5,6.89,556.8,Beetroot
76.7,22,31,31.4,69.9,7.34,1746.1,Jute
66.3,63.5,57.8,21.9,63,6.41,1122.6,Chilli
177.9,59.5,87.2,16.3,74,5.55,381.8,Potato
25.8,46.8,49.3,13.6,54,6.63,404.7,Field Pea
76.8,38.1,46.5,14,68.3,6.77,549.7,Spinach
60.4,37.3,140.3,25.9,68.3,5.39,1222.4,Sweet Potato
78.6,51.9,45.5,13.4,61.6,6.95,561.7,Garlic
49.1,45.3,82.8,25.9,89.2,4.97,1937.2,Cardamom
70.9,76.6,137.5,25.1,80.2,5.97,2005.3,Jackfruit
100.5,56.1,62.9,14.2,71,6.32,480.1,Lettuce
96,46.8,79,25.9,67.5,6.43,651.5,Chilli
128.4,35.9,43.8,35.5,85.5,6.71,1304.2,Rice
70.3,49.1,106.1,16.2,56.5,6.82,437.2,Garlic
39.3,24.3,28.7,22.1,61,6.53,747.8,Niger
69.3,23.8,75.5,21.7,80.2,6.6,2502.1,Clove
92.7,48.5,63.8,29.9,75.4,6.2,693.3,Ridge Gourd
30.4,51.9,31.7,32.8,48.6,7.97,448.8,Cluster Bean
139.3,49.4,52.5,41.5,61.4,7.77,1038.4,Mentha
106.8,50,97.7,28.4,70.5,6.71,1507,Orange
26.9,71.6,53.2,31.4,67.7,6.08,1124.6,Soybean
21.7,52.6,66,28.8,60,6.4,532.8,Groundnut
61.6,37.5,34.8,36,51.3,8.14,441.5,Castor
41.7,52.9,30.1,26,58.4,6.85,362,Lentil
108.2,50.2,73.8,17.4,70.7,6.68,539.1,Lettuce
78.1,41.2,86.5,32.8,46.2,6.91,504,Muskmelon
41.7,25,26.5,28.4,61,6.9,852.8,Niger
51.8,27.5,35.5,24.1,55.2,5.9,783,Ragi
68.7,27.7,29,35.7,57,7.05,519.3,Sesame
62.5,29.6,32.5,30.4,52.9,6.79,758.5,Niger
141.7,55.7,126.4,19.8,83.7,5.98,1585.3,Coffee
83.9,38.5,79,30.3,62.1,6.97,421.6,Pomegranate
67.9,30.7,46.4,28.6,67.4,6.42,643.2,Jowar
78.1,38.4,56.4,29.6,83.5,6.58,773.7,Snake Gourd
30.2,75.5,47.2,24.2,55,6.79,883.7,Soybean
64,32.9,31,24.3,45.7,5.8,658.2,Ragi
50.8,45.6,17,22,35.7,7.3,343.7,Cumin
73.2,35.7,77.3,26.9,80.6,5.96,1951.8,Clove
92.3,47.5,83.4,17.3,63.6,6.37,597.4,Cauliflower
69.1,51,40.8,27.8,68.1,6.46,569.7,Chilli
43,33,62,37.7,55.1,7.25,914.6,Drumstick
81.3,35.6,21.1,30.5,46.5,7.06,500.6,Bajra
27.7,47.2,77.6,29.8,52.1,6.77,884,Groundnut
93.2,61.5,66.7,26.1,84.3,6,3213,Rubber
150.3,74.8,115.6,22.6,63.9,5.87,852,Tomato
97.7,42.2,77.4,27.5,75.1,5.65,1480.9,Litchi
89.1,55.8,122.3,22.7,58.5,6.8,501.3,Beetroot
75.5,30.9,10.7,29.4,46.5,6.77,679.2,Ragi
111.9,52.3,84,32.7,61.5,6.76,816.8,Bottle Gourd
76.8,46.2,46.5,28.1,58.5,6.9,605.2,Sunflower
124.8,51.6,43.4,25.5,47.1,6.56,444.7,Wheat
26,33.8,29,29.5,40.3,7.72,711.9,Ashwagandha
26.8,56.9,26.2,29,49.3,7.83,469.1,Cluster Bean
49.8,33.4,24.6,23,31.2,7.15,426.6,Safflower
29.5,56.5,27.7,31.7,65.9,7.05,884.3,Arhar Dal
110,51.7,93.4,25.8,75.9,6.14,1035.1,Tobacco
55.1,35.6,59.9,25.2,63.7,7.4,1073.3,Drumstick
74.1,42.2,97.5,22.9,66,6.85,2409.9,Betel Nut
52.6,27.3,83.8,24.9,88.4,6.18,2352.4,Clove
93.3,47.6,70.2,29.1,75.8,6.59,530.9,Capsicum
169.4,75.8,80.1,23.8,60.9,6.98,774.3,Tomato
67.1,51,92.3,28.2,62.8,5.65,726.9,Capsicum
99.3,36,54.7,25.5,59.6,6.12,1033.5,Cotton
110,56.6,129.3,26.2,79.1,5.07,1546.1,Coffee
104.7,55.9,80.9,14.2,72.7,6.58,557.9,Cauliflower
134.9,59.7,29.3,22,37.4,6.42,606.9,Wheat
73.2,47,71.2,23.7,78.8,6.39,550.5,Cucumber
31.3,59.8,22.3,29.3,56.9,6.73,345,Mung Bean
130.1,50.2,129,23.5,86.1,6.33,1892.3,Jackfruit
36.7,35.9,32.4,29.1,41.1,7.84,758.9,Ashwagandha
44.3,42.6,45.6,37.2,22.3,7.63,509.4,Ber
71.6,58.9,103.9,21.3,61.3,6.47,467.1,Beetroot
133.3,53.3,50.7,27.6,77,6.03,799,Maize
26.8,54.9,36.1,15.9,44.1,6.78,455.1,Lentil
104.2,51.2,43.2,29.5,70.9,6.59,978.8,Ridge Gourd
32.3,56.3,44.6,26.8,68.2,6.69,579.5,Mung Bean
78.1,45.7,115.3,25.2,56.3,8.56,570.6,Grapes
22.3,47.1,32.1,32.1,65,6.59,441.5,Blackgram
